,A,B,C,D
2000-01-01,0.09710925670027541,1.2968316175520362,-0.31512431455994616,0.576285136530915
2000-01-02,-0.322071750039944,0.06598698634274579,-2.38963599917842,0.4308748861308998
2000-01-03,0.4873232316637665,-1.2471437617839913,-1.2591355719500663,-0.27840561041157535
2000-01-04,-1.3549972199873892,-1.2119858789900892,0.5760562375368828,-0.0068362895802621506
2000-01-05,-0.6695642383770147,-0.112613131401347,0.6140843834268863,0.4872521614523598
2000-01-06,1.3281344764376373,-0.0106084325495711,0.016468864624977934,-0.6388523048723203
2000-01-07,0.2410987217437123,-0.19848428345913777,-1.189064303992275,0.05767470364700763
2000-01-08,1.1347114286705142,-0.1954190932451941,-0.3326177152715646,-1.4524745689526535
2000-01-09,-1.8492836218586859,-1.4162931689054283,-0.34271362027094265,0.2361037935962375
2000-01-10,-0.29743219075295846,-1.4298569917582609,0.13574459768543526,1.7789800370776905
2000-01-11,0.6259907909763021,-0.7414152431254536,1.0000956897212503,0.013717072980503627
2000-01-12,0.5645024212303348,1.7553161903345702,-0.43097830431117806,1.2711848113128805
2000-01-13,0.33165872953451203,-0.8870727235975009,-1.3041325981469751,0.9774436926461941
2000-01-14,0.37804663767687896,0.9686912302759028,-0.4044661395521977,0.7077382657076645
2000-01-15,-0.36843729050781243,0.5775255613112313,0.2351049647182589,-0.41407924638024723
2000-01-16,0.3446018758152079,-0.19804424307842927,-0.29098906107409556,-2.1223845836632016
2000-01-17,-0.7331018039829253,1.9222202146742566,0.41208071188438206,-0.7104723358192337
2000-01-18,-0.7567367788692744,-1.1434787112171196,-0.5123660185769267,-1.003250432738313
2000-01-19,0.30391626589771675,0.820823647383896,-0.6006840433471655,-0.3008260040106057
2000-01-20,-1.2119264636036309,-0.4498654619955012,-0.9847172348754708,-1.0767730835769478
2000-01-21,0.5230448290800909,0.2235227854460079,-1.0615362335449143,2.3240646520053216
2000-01-22,1.9737939645868865,2.1474923105441186,-1.8626750054183658,-2.678212389631459
2000-01-23,0.6937552738269437,0.2533824740809778,-0.1549799567585424,-0.21189470574906139
2000-01-24,0.7543105938641964,0.9333072704232681,-0.15636907794229102,0.11530809197709592
2000-01-25,0.811848721014156,0.2990039601071879,-0.39251714227177265,-1.5594880509663747
2000-01-26,1.1208730111262974,-2.0242573226438485,-0.21460143338199342,-0.5925690197266837
2000-01-27,0.9498982705695066,-1.6669494457710379,0.9256184802952434,-0.7340534538487717
2000-01-28,0.7570608152126883,1.6721437678150808,0.8644767538283493,-0.01590378089714
2000-01-29,0.40744540748663843,-0.04527028708554471,2.0420623028015603,2.523431091932394
2000-01-30,1.619121748090772,-0.9056741189210732,-0.13590190909182573,0.1713767754296635
2000-01-31,-0.4717626299327766,0.7830541147256158,0.0551462220236989,-1.160469845188398
2000-02-01,-0.6918422875799637,-0.30953381321008366,-1.3054742825019847,0.8889087588731348
2000-02-02,-0.7799700716146081,-1.1619803066812378,1.103033892943804,-0.8639678248105578
2000-02-03,0.1730693427492945,0.2882338607865884,0.6433960606808544,-1.283319180264188
2000-02-04,1.6467215331299374,-2.8361624715479734,0.49553989922105324,0.10622887653104594
2000-02-05,1.522778014363156,0.19620039718819832,-0.380878391803679,0.1962194579110233
2000-02-06,-0.8830132685111157,-0.6838493613446269,-0.7999674289024354,-1.1041340183604738
2000-02-07,-0.8812586920696779,1.079675004678373,1.5659529307475222,-1.0888996507257551
2000-02-08,-0.6089021876415788,2.9460986283927757,1.2182719585592794,0.5929747393413048
2000-02-09,0.6559242332214308,-1.2127508349770404,-0.0860326240177586,2.672707446988662
2000-02-10,-0.44506229416394544,0.9235351101933074,-2.3429693386114425,-0.05023071672851051
2000-02-11,3.11396122236806,0.7073394368319178,0.5038683976605284,-0.0010709501453403786
